 Total battles: 558663
 Avg. weight/team: 0.024
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 26.65129% | 179632 | 16.077% | 157766 | 17.978% | 
 | 2    | Alomomola          | 24.76755% | 134128 | 12.004% | 113724 | 12.959% | 
 | 3    | Gholdengo          | 21.66592% | 133853 | 11.980% | 102681 | 11.701% | 
 | 4    | Terapagos          | 19.78252% | 98511  |  8.817% | 74365  |  8.474% | 
 | 5    | Kingambit          | 17.34945% | 99572  |  8.912% | 67714  |  7.716% | 
 | 6    | Great Tusk         | 16.87744% | 142722 | 12.774% | 108561 | 12.371% | 
 | 7    | Zamazenta          | 15.96828% | 68264  |  6.110% | 50014  |  5.699% | 
 | 8    | Zapdos             | 15.69379% | 94042  |  8.417% | 78768  |  8.976% | 
 | 9    | Dragonite          | 14.61428% | 81161  |  7.264% | 59802  |  6.815% | 
 | 10   | Gliscor            | 14.36682% | 107006 |  9.577% | 89251  | 10.170% | 
 | 11   | Iron Valiant       | 12.57594% | 93906  |  8.405% | 65932  |  7.513% | 
 | 12   | Tapu Lele          | 12.26079% | 91158  |  8.159% | 71008  |  8.091% | 
 | 13   | Ogerpon-Wellspring | 11.70840% | 73791  |  6.604% | 57290  |  6.528% | 
 | 14   | Scizor-Mega        | 11.64209% | 71876  |  6.433% | 56983  |  6.493% | 
 | 15   | Volcarona          | 11.51194% | 86470  |  7.739% | 63277  |  7.211% | 
 | 16   | Diancie-Mega       | 11.49676% | 72812  |  6.517% | 60904  |  6.940% | 
 | 17   | Corviknight        | 10.89683% | 80530  |  7.207% | 65716  |  7.488% | 
 | 18   | Ferrothorn         |  9.68670% | 129156 | 11.559% | 110857 | 12.632% | 
 | 19   | Ting-Lu            |  9.28344% | 46942  |  4.201% | 40504  |  4.616% | 
 | 20   | Raging Bolt        |  9.16165% | 86051  |  7.702% | 66563  |  7.585% | 
 | 21   | Cinderace          |  8.46789% | 45509  |  4.073% | 35288  |  4.021% | 
 | 22   | Charizard-Mega-Y   |  8.06477% | 89500  |  8.010% | 73994  |  8.432% | 
 | 23   | Garchomp           |  8.02597% | 89414  |  8.002% | 72211  |  8.229% | 
 | 24   | Tapu Koko          |  7.73966% | 84797  |  7.589% | 71497  |  8.147% | 
 | 25   | Urshifu-Rapid-Strike |  7.71258% | 80813  |  7.233% | 64547  |  7.355% | 
 | 26   | Toxapex            |  7.64908% | 67790  |  6.067% | 53860  |  6.137% | 
 | 27   | Clodsire           |  7.51674% | 46615  |  4.172% | 37704  |  4.296% | 
 | 28   | Clefable           |  7.45028% | 36529  |  3.269% | 28654  |  3.265% | 
 | 29   | Hatterene          |  7.31740% | 57084  |  5.109% | 45711  |  5.209% | 
 | 30   | Melmetal           |  7.16068% | 58416  |  5.228% | 47575  |  5.421% | 
 | 31   | Samurott-Hisui     |  6.85061% | 64889  |  5.808% | 55866  |  6.366% | 
 | 32   | Roaring Moon       |  6.62122% | 43487  |  3.892% | 31472  |  3.586% | 
 | 33   | Heatran            |  6.43545% | 82822  |  7.413% | 67945  |  7.742% | 
 | 34   | Iron Moth          |  5.88786% | 32664  |  2.923% | 24321  |  2.771% | 
 | 35   | Latios-Mega        |  5.66705% | 33899  |  3.034% | 26403  |  3.009% | 
 | 36   | Slowking-Galar     |  5.65888% | 70903  |  6.346% | 58417  |  6.657% | 
 | 37   | Moltres            |  5.38219% | 62506  |  5.594% | 51968  |  5.922% | 
 | 38   | Iron Treads        |  5.06409% | 45812  |  4.100% | 37479  |  4.271% | 
 | 39   | Kyurem             |  4.97059% | 31109  |  2.784% | 23862  |  2.719% | 
 | 40   | Pelipper           |  4.54828% | 51335  |  4.594% | 47624  |  5.427% | 
 | 41   | Dondozo            |  4.31281% | 17431  |  1.560% | 12450  |  1.419% | 
 | 42   | Swampert-Mega      |  4.13226% | 42061  |  3.764% | 34365  |  3.916% | 
 | 43   | Tapu Fini          |  4.05571% | 41597  |  3.723% | 34833  |  3.969% | 
 | 44   | Charizard-Mega-X   |  3.89125% | 41779  |  3.739% | 31568  |  3.597% | 
 | 45   | Greninja           |  3.64710% | 51488  |  4.608% | 38479  |  4.385% | 
 | 46   | Tyranitar-Mega     |  3.62336% | 36009  |  3.223% | 29825  |  3.399% | 
 | 47   | Lopunny-Mega       |  3.60973% | 67539  |  6.045% | 55359  |  6.308% | 
 | 48   | Venusaur-Mega      |  3.52135% | 27515  |  2.463% | 22280  |  2.539% | 
 | 49   | Ceruledge          |  3.50941% | 38191  |  3.418% | 29355  |  3.345% | 
 | 50   | Blissey            |  3.49587% | 27625  |  2.472% | 21465  |  2.446% | 
 | 51   | Sableye-Mega       |  3.39426% | 18316  |  1.639% | 16357  |  1.864% | 
 | 52   | Chansey            |  3.26896% | 24031  |  2.151% | 18201  |  2.074% | 
 | 53   | Tornadus-Therian   |  3.05054% | 27485  |  2.460% | 22251  |  2.536% | 
 | 54   | Pecharunt          |  2.93944% | 20118  |  1.801% | 16142  |  1.839% | 
 | 55   | Kartana            |  2.93655% | 54140  |  4.845% | 40940  |  4.665% | 
 | 56   | Iron Crown         |  2.93171% | 24968  |  2.235% | 19020  |  2.167% | 
 | 57   | Slowbro            |  2.81894% | 29655  |  2.654% | 24778  |  2.823% | 
 | 58   | Keldeo             |  2.81555% | 12247  |  1.096% | 9838   |  1.121% | 
 | 59   | Serperior          |  2.64360% | 33235  |  2.975% | 25551  |  2.912% | 
 | 60   | Kommo-o            |  2.33342% | 33955  |  3.039% | 26052  |  2.969% | 
 | 61   | Weavile            |  2.29680% | 36610  |  3.277% | 27254  |  3.106% | 
 | 62   | Meowscarada        |  2.19554% | 34666  |  3.103% | 26867  |  3.062% | 
 | 63   | Rillaboom          |  2.08994% | 38382  |  3.435% | 30316  |  3.455% | 
 | 64   | Tyranitar          |  2.04713% | 33103  |  2.963% | 27210  |  3.101% | 
 | 65   | Mawile-Mega        |  2.04172% | 28339  |  2.536% | 21917  |  2.497% | 
 | 66   | Excadrill          |  2.00866% | 31013  |  2.776% | 23493  |  2.677% | 
 | 67   | Skarmory           |  1.99767% | 17625  |  1.577% | 14876  |  1.695% | 
 | 68   | Archaludon         |  1.94023% | 21656  |  1.938% | 17707  |  2.018% | 
 | 69   | Gengar             |  1.92019% | 20904  |  1.871% | 15052  |  1.715% | 
 | 70   | Ogerpon-Cornerstone |  1.87317% | 13291  |  1.190% | 9842   |  1.122% | 
 | 71   | Ursaluna           |  1.86556% | 25707  |  2.301% | 20252  |  2.308% | 
 | 72   | Ribombee           |  1.85065% | 20268  |  1.814% | 18243  |  2.079% | 
 | 73   | Hoopa-Unbound      |  1.82847% | 14303  |  1.280% | 10592  |  1.207% | 
 | 74   | Hydrapple          |  1.81803% | 10106  |  0.904% | 7563   |  0.862% | 
 | 75   | Medicham-Mega      |  1.80928% | 25167  |  2.252% | 20619  |  2.350% | 
 | 76   | Pinsir-Mega        |  1.75565% | 17985  |  1.610% | 13490  |  1.537% | 
 | 77   | Aegislash          |  1.74042% | 30263  |  2.709% | 23252  |  2.650% | 
 | 78   | Shedinja           |  1.67512% | 7145   |  0.639% | 5198   |  0.592% | 
 | 79   | Maushold           |  1.57973% | 6480   |  0.580% | 4722   |  0.538% | 
 | 80   | Victini            |  1.56671% | 23864  |  2.136% | 18745  |  2.136% | 
 | 81   | Tangrowth          |  1.55953% | 16041  |  1.436% | 12884  |  1.468% | 
 | 82   | Gardevoir-Mega     |  1.34142% | 23858  |  2.135% | 17340  |  1.976% | 
 | 83   | Rotom-Wash         |  1.33758% | 34134  |  3.055% | 29013  |  3.306% | 
 | 84   | Araquanid          |  1.31953% | 25199  |  2.255% | 22706  |  2.587% | 
 | 85   | Weezing-Galar      |  1.26725% | 8818   |  0.789% | 7291   |  0.831% | 
 | 86   | Magnezone          |  1.26703% | 21130  |  1.891% | 16116  |  1.836% | 
 | 87   | Garganacl          |  1.23016% | 17033  |  1.524% | 13639  |  1.554% | 
 | 88   | Blaziken           |  1.19938% | 29505  |  2.641% | 21859  |  2.491% | 
 | 89   | Ninetales-Alola    |  1.17359% | 21721  |  1.944% | 18685  |  2.129% | 
 | 90   | Aerodactyl-Mega    |  1.15598% | 14455  |  1.294% | 11051  |  1.259% | 
 | 91   | Cresselia          |  1.13766% | 10791  |  0.966% | 8348   |  0.951% | 
 | 92   | Glimmora           |  1.08748% | 27325  |  2.446% | 24431  |  2.784% | 
