 Total battles: 935985
 Avg. weight/team: 0.074
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Great Tusk         | 31.53005% | 490607 | 26.208% | 388031 | 26.118% | 
 | 2    | Kingambit          | 24.32542% | 331464 | 17.707% | 226390 | 15.238% | 
 | 3    | Gholdengo          | 23.89572% | 336140 | 17.956% | 259143 | 17.443% | 
 | 4    | Zamazenta          | 22.93164% | 224000 | 11.966% | 163378 | 10.997% | 
 | 5    | Ogerpon-Wellspring | 19.11331% | 251218 | 13.420% | 201156 | 13.540% | 
 | 6    | Dragonite          | 19.05954% | 271602 | 14.509% | 198465 | 13.358% | 
 | 7    | Iron Valiant       | 15.70445% | 237756 | 12.701% | 170276 | 11.461% | 
 | 8    | Kyurem             | 15.09098% | 161421 |  8.623% | 127903 |  8.609% | 
 | 9    | Dragapult          | 14.92819% | 287380 | 15.352% | 223949 | 15.074% | 
 | 10   | Raging Bolt        | 14.29310% | 196106 | 10.476% | 150101 | 10.103% | 
 | 11   | Slowking-Galar     | 14.08283% | 238026 | 12.715% | 199677 | 13.440% | 
 | 12   | Hatterene          | 14.02877% | 213292 | 11.394% | 168012 | 11.309% | 
 | 13   | Ting-Lu            | 14.00039% | 145931 |  7.796% | 126404 |  8.508% | 
 | 14   | Corviknight        | 13.13153% | 229175 | 12.242% | 188227 | 12.669% | 
 | 15   | Landorus-Therian   | 12.91737% | 186246 |  9.949% | 164507 | 11.073% | 
 | 16   | Glimmora           | 12.88985% | 175230 |  9.361% | 153757 | 10.349% | 
 | 17   | Samurott-Hisui     | 11.98367% | 168700 |  9.012% | 150387 | 10.122% | 
 | 18   | Iron Treads        | 11.76418% | 161311 |  8.617% | 133939 |  9.015% | 
 | 19   | Cinderace          | 10.99771% | 177358 |  9.474% | 139716 |  9.404% | 
 | 20   | Ceruledge          | 10.83205% | 166330 |  8.885% | 126631 |  8.523% | 
 | 21   | Darkrai            |  9.39784% | 152701 |  8.157% | 117159 |  7.886% | 
 | 22   | Pecharunt          |  9.30157% | 132823 |  7.095% | 106915 |  7.196% | 
