 Total battles: 1009593
 Avg. weight/team: 0.074
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Great Tusk         | 32.95295% | 552915 | 27.383% | 430139 | 26.925% | 
 | 2    | Kingambit          | 23.44040% | 369080 | 18.279% | 251370 | 15.735% | 
 | 3    | Gholdengo          | 23.15526% | 322532 | 15.973% | 248841 | 15.577% | 
 | 4    | Zamazenta          | 22.18437% | 235976 | 11.687% | 173051 | 10.832% | 
 | 5    | Ogerpon-Wellspring | 21.00298% | 272565 | 13.499% | 219804 | 13.759% | 
 | 6    | Dragonite          | 19.84367% | 300342 | 14.874% | 218425 | 13.673% | 
 | 7    | Iron Valiant       | 19.18507% | 280058 | 13.870% | 203828 | 12.759% | 
 | 8    | Kyurem             | 16.98536% | 194113 |  9.613% | 154206 |  9.653% | 
 | 9    | Ting-Lu            | 16.65032% | 184009 |  9.113% | 158933 |  9.949% | 
 | 10   | Dragapult          | 16.23503% | 327786 | 16.234% | 255032 | 15.964% | 
 | 11   | Landorus-Therian   | 15.80537% | 236945 | 11.735% | 207804 | 13.008% | 
 | 12   | Slowking-Galar     | 15.10946% | 251050 | 12.433% | 211595 | 13.245% | 
 | 13   | Hatterene          | 14.02430% | 222605 | 11.024% | 172431 | 10.794% | 
 | 14   | Raging Bolt        | 13.92529% | 217211 | 10.757% | 164982 | 10.327% | 
 | 15   | Darkrai            | 12.99309% | 191378 |  9.478% | 147812 |  9.252% | 
 | 16   | Cinderace          | 12.94543% | 238568 | 11.815% | 186851 | 11.696% | 
 | 17   | Gliscor            | 12.51462% | 250586 | 12.410% | 207764 | 13.005% | 
 | 18   | Iron Treads        | 12.30959% | 153152 |  7.585% | 127283 |  7.967% | 
 | 19   | Pecharunt          | 11.88401% | 147030 |  7.282% | 118943 |  7.445% | 
 | 20   | Corviknight        | 11.79063% | 254503 | 12.604% | 208035 | 13.022% | 
 | 21   | Iron Moth          | 11.57486% | 213003 | 10.549% | 162735 | 10.187% | 
 | 22   | Samurott-Hisui     | 11.45321% | 171108 |  8.474% | 152324 |  9.535% | 
 | 23   | Garganacl          |  8.79480% | 171424 |  8.490% | 139405 |  8.726% | 
 | 24   | Alomomola          |  8.32472% | 166287 |  8.235% | 137540 |  8.609% | 
 | 25   | Moltres            |  8.24820% | 118376 |  5.863% | 100312 |  6.279% | 
 | 26   | Zapdos             |  6.97273% | 162279 |  8.037% | 135887 |  8.506% | 
 | 27   | Glimmora           |  6.53652% | 145519 |  7.207% | 129166 |  8.085% | 
 | 28   | Clefable           |  6.06790% | 107916 |  5.345% | 84847  |  5.311% | 
 | 29   | Ceruledge          |  5.70427% | 113923 |  5.642% | 86888  |  5.439% | 
 | 30   | Iron Crown         |  5.59245% | 104425 |  5.172% | 84478  |  5.288% | 
 | 31   | Enamorus           |  5.46340% | 96719  |  4.790% | 73840  |  4.622% | 
 | 32   | Deoxys-Speed       |  5.34319% | 58345  |  2.890% | 49365  |  3.090% | 
 | 33   | Primarina          |  5.19728% | 111372 |  5.516% | 91750  |  5.743% | 
 | 34   | Weezing-Galar      |  5.18229% | 61661  |  3.054% | 50230  |  3.144% | 
 | 35   | Araquanid          |  4.83137% | 111158 |  5.505% | 101884 |  6.378% | 
 | 36   | Dondozo            |  4.52087% | 75124  |  3.721% | 54509  |  3.412% | 
 | 37   | Latios             |  4.49703% | 57779  |  2.861% | 45653  |  2.858% | 
 | 38   | Walking Wake       |  4.26302% | 138886 |  6.878% | 111442 |  6.976% | 
 | 39   | Scizor             |  4.19272% | 110347 |  5.465% | 90111  |  5.641% | 
 | 40   | Garchomp           |  4.03591% | 104538 |  5.177% | 84742  |  5.305% | 
 | 41   | Weavile            |  3.99675% | 105888 |  5.244% | 81116  |  5.078% | 
 | 42   | Heatran            |  3.89602% | 73032  |  3.617% | 60650  |  3.796% | 
 | 43   | Rillaboom          |  3.84290% | 97287  |  4.818% | 78984  |  4.944% | 
 | 44   | Ninetales-Alola    |  3.81502% | 62501  |  3.095% | 55498  |  3.474% | 
 | 45   | Blissey            |  3.66445% | 57837  |  2.864% | 44389  |  2.779% | 
 | 46   | Tornadus-Therian   |  3.56017% | 33330  |  1.651% | 28593  |  1.790% | 
 | 47   | Meowscarada        |  3.01257% | 105735 |  5.237% | 85914  |  5.378% | 
 | 48   | Clodsire           |  2.94337% | 66659  |  3.301% | 53202  |  3.330% | 
 | 49   | Hoopa-Unbound      |  2.92046% | 49153  |  2.434% | 39064  |  2.445% | 
 | 50   | Hydrapple          |  2.90294% | 44617  |  2.210% | 34705  |  2.172% | 
 | 51   | Toxapex            |  2.71880% | 70851  |  3.509% | 57689  |  3.611% | 
 | 52   | Tinkaton           |  2.40992% | 75151  |  3.722% | 64557  |  4.041% | 
 | 53   | Rotom-Wash         |  2.35077% | 57883  |  2.867% | 50004  |  3.130% | 
 | 54   | Ursaluna           |  2.27469% | 56928  |  2.819% | 45317  |  2.837% | 
 | 55   | Tyranitar          |  2.26460% | 61698  |  3.056% | 53041  |  3.320% | 
 | 56   | Pelipper           |  2.25749% | 84378  |  4.179% | 77529  |  4.853% | 
 | 57   | Ogerpon-Cornerstone |  2.21257% | 35801  |  1.773% | 28661  |  1.794% | 
 | 58   | Skarmory           |  2.14060% | 41274  |  2.044% | 35655  |  2.232% | 
 | 59   | Ninetales          |  2.13201% | 65357  |  3.237% | 60286  |  3.774% | 
 | 60   | Lokix              |  2.02335% | 56361  |  2.791% | 45066  |  2.821% | 
 | 61   | Serperior          |  1.96514% | 70309  |  3.482% | 53888  |  3.373% | 
 | 62   | Manaphy            |  1.96388% | 22389  |  1.109% | 17558  |  1.099% | 
 | 63   | Torkoal            |  1.87545% | 67138  |  3.325% | 61354  |  3.841% | 
 | 64   | Excadrill          |  1.86553% | 47246  |  2.340% | 36832  |  2.306% | 
