 Total battles: 75085
 Avg. weight/team: 0.034
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Excadrill          | 28.72490% | 31800  | 21.176% | 25896  | 21.314% | 
 | 2    | Mandibuzz          | 24.53650% | 17875  | 11.903% | 14759  | 12.147% | 
 | 3    | Skarmory           | 24.12657% | 22113  | 14.725% | 19569  | 16.106% | 
 | 4    | Latios             | 22.40686% | 30501  | 20.311% | 23793  | 19.583% | 
 | 5    | Tinkaton           | 21.25820% | 14602  |  9.724% | 12662  | 10.421% | 
 | 6    | Hydrapple          | 18.80032% | 16548  | 11.020% | 12825  | 10.556% | 
 | 7    | Greninja           | 18.59546% | 24080  | 16.035% | 18802  | 15.475% | 
 | 8    | Clodsire           | 17.53774% | 19857  | 13.223% | 16907  | 13.915% | 
 | 9    | Arcanine-Hisui     | 17.09199% | 24298  | 16.180% | 19585  | 16.119% | 
 | 10   | Weavile            | 16.61767% | 17769  | 11.833% | 13526  | 11.133% | 
 | 11   | Lokix              | 16.20092% | 26562  | 17.688% | 21434  | 17.641% | 
 | 12   | Sinistcha          | 14.46281% | 13975  |  9.306% | 10916  |  8.984% | 
 | 13   | Skeledirge         | 14.31040% | 22415  | 14.926% | 17991  | 14.808% | 
 | 14   | Scizor             | 13.90475% | 24477  | 16.300% | 19825  | 16.317% | 
 | 15   | Thundurus-Therian  | 13.68925% | 21320  | 14.197% | 16819  | 13.843% | 
 | 16   | Donphan            | 13.60446% | 21216  | 14.128% | 18423  | 15.163% | 
 | 17   | Slowking           | 12.90762% | 16830  | 11.207% | 14065  | 11.576% | 
 | 18   | Azumarill          | 11.63723% | 10832  |  7.213% | 8810   |  7.251% | 
 | 19   | Iron Jugulis       | 11.55856% | 6914   |  4.604% | 5267   |  4.335% | 
 | 20   | Keldeo             | 11.08063% | 10632  |  7.080% | 8580   |  7.062% | 
 | 21   | Ogerpon            | 10.79923% | 13644  |  9.086% | 10771  |  8.865% | 
 | 22   | Conkeldurr         | 10.70995% | 15933  | 10.610% | 12920  | 10.634% | 
 | 23   | Fezandipiti        | 10.20154% | 9808   |  6.531% | 8282   |  6.817% | 
 | 24   | Toxapex            | 10.11060% | 13159  |  8.763% | 11065  |  9.107% | 
 | 25   | Hippowdon          |  9.96227% | 10625  |  7.075% | 9734   |  8.012% | 
 | 26   | Metagross          |  9.71651% | 13315  |  8.867% | 10747  |  8.845% | 
 | 27   | Zapdos-Galar       |  9.44279% | 11416  |  7.602% | 9295   |  7.650% | 
 | 28   | Sandy Shocks       |  9.31067% | 11404  |  7.594% | 9739   |  8.016% | 
 | 29   | Slither Wing       |  8.95060% | 12451  |  8.291% | 9742   |  8.018% | 
 | 30   | Revavroom          |  8.01769% | 7720   |  5.141% | 5617   |  4.623% | 
 | 31   | Manaphy            |  7.83403% | 8654   |  5.763% | 6685   |  5.502% | 
 | 32   | Rotom-Wash         |  6.92924% | 17055  | 11.357% | 15145  | 12.465% | 
 | 33   | Blissey            |  5.83734% | 4793   |  3.192% | 3899   |  3.209% | 
 | 34   | Comfey             |  5.46256% | 4093   |  2.726% | 3030   |  2.494% | 
 | 35   | Talonflame         |  5.38946% | 4863   |  3.238% | 4122   |  3.393% | 
 | 36   | Mamoswine          |  5.04538% | 3946   |  2.628% | 3240   |  2.667% | 
 | 37   | Mew                |  4.64016% | 5583   |  3.718% | 5134   |  4.226% | 
 | 38   | Houndstone         |  4.42862% | 1540   |  1.026% | 1300   |  1.070% | 
 | 39   | Gastrodon          |  3.99509% | 4493   |  2.992% | 3966   |  3.264% | 
 | 40   | Gardevoir          |  3.98797% | 4025   |  2.680% | 3232   |  2.660% | 
 | 41   | Salamence          |  3.93851% | 8093   |  5.389% | 6124   |  5.040% | 
 | 42   | Bisharp            |  3.92512% | 2997   |  1.996% | 2344   |  1.929% | 
 | 43   | Mimikyu            |  3.86454% | 6316   |  4.206% | 4608   |  3.793% | 
 | 44   | Cobalion           |  3.58548% | 7175   |  4.778% | 6237   |  5.133% | 
 | 45   | Hydreigon          |  3.49399% | 7171   |  4.775% | 5692   |  4.685% | 
 | 46   | Hawlucha           |  3.26568% | 4639   |  3.089% | 3427   |  2.821% | 
 | 47   | Politoed           |  3.20404% | 5001   |  3.330% | 4470   |  3.679% | 
 | 48   | Thundurus          |  3.08170% | 4360   |  2.903% | 3665   |  3.016% | 
 | 49   | Magnezone          |  3.07466% | 3331   |  2.218% | 2770   |  2.280% | 
 | 50   | Barraskewda        |  2.97657% | 2435   |  1.621% | 1995   |  1.642% | 
 | 51   | Ninetales-Alola    |  2.78829% | 5080   |  3.383% | 4450   |  3.663% | 
 | 52   | Jirachi            |  2.75543% | 2687   |  1.789% | 2172   |  1.788% | 
 | 53   | Grimmsnarl         |  2.46632% | 5151   |  3.430% | 4626   |  3.807% | 
 | 54   | Serperior          |  2.09746% | 9085   |  6.050% | 7124   |  5.863% | 
 | 55   | Crawdaunt          |  1.72530% | 1682   |  1.120% | 1384   |  1.139% | 
 | 56   | Cyclizar           |  1.66748% | 3029   |  2.017% | 2366   |  1.947% | 
 | 57   | Armarouge          |  1.64969% | 3265   |  2.174% | 2521   |  2.075% | 
 | 58   | Swampert           |  1.60027% | 2557   |  1.703% | 2261   |  1.861% | 
 | 59   | Basculegion-F      |  1.47973% | 1470   |  0.979% | 1202   |  0.989% | 
 | 60   | Indeedee           |  1.47780% | 1954   |  1.301% | 1674   |  1.378% | 
 | 61   | Necrozma           |  1.47132% | 846    |  0.563% | 617    |  0.508% | 
 | 62   | Gyarados           |  1.42042% | 4909   |  3.269% | 3897   |  3.207% | 
 | 63   | Zoroark-Hisui      |  1.37752% | 6221   |  4.143% | 2410   |  1.984% | 
 | 64   | Gengar             |  1.33602% | 4453   |  2.965% | 3403   |  2.801% | 
 | 65   | Empoleon           |  1.32495% | 2202   |  1.466% | 1929   |  1.588% | 
 | 66   | Regidrago          |  1.23576% | 779    |  0.519% | 616    |  0.507% | 
 | 67   | Overqwil           |  1.21053% | 904    |  0.602% | 722    |  0.594% | 
 | 68   | Goodra-Hisui       |  1.13775% | 5142   |  3.424% | 4272   |  3.516% | 
 | 69   | Thwackey           |  1.12264% | 475    |  0.316% | 428    |  0.352% | 
 | 70   | Volcanion          |  1.11854% | 4195   |  2.794% | 3471   |  2.857% | 
 | 71   | Yanmega            |  1.10976% | 3453   |  2.299% | 2646   |  2.178% | 
 | 72   | Suicune            |  1.10510% | 716    |  0.477% | 622    |  0.512% | 
 | 73   | Enamorus-Therian   |  1.07976% | 1614   |  1.075% | 1243   |  1.023% | 
 | 74   | Venusaur           |  1.07570% | 2525   |  1.681% | 2092   |  1.722% | 
 | 75   | Torkoal            |  1.02194% | 4109   |  2.736% | 3763   |  3.097% | 
 | 76   | Toxtricity         |  1.01178% | 2050   |  1.365% | 1558   |  1.282% | 
 | 77   | Araquanid          |  1.01140% | 2542   |  1.693% | 2254   |  1.855% | 
 | 78   | Lilligant-Hisui    |  0.98767% | 3077   |  2.049% | 2400   |  1.975% | 
 | 79   | Blastoise          |  0.98152% | 5256   |  3.500% | 4140   |  3.407% | 
 | 80   | Frosmoth           |  0.97595% | 719    |  0.479% | 535    |  0.440% | 
 | 81   | Cresselia          |  0.93437% | 906    |  0.603% | 753    |  0.620% | 
 | 82   | Terrakion          |  0.89071% | 738    |  0.491% | 580    |  0.477% | 
 | 83   | Kleavor            |  0.87662% | 3476   |  2.315% | 3055   |  2.514% | 
 | 84   | Maushold           |  0.80646% | 2923   |  1.946% | 2285   |  1.881% | 
 | 85   | Muk-Alola          |  0.77845% | 2389   |  1.591% | 2004   |  1.649% | 
 | 86   | Haxorus            |  0.75316% | 4720   |  3.143% | 3421   |  2.816% | 
 | 87   | Quagsire           |  0.74946% | 2143   |  1.427% | 1868   |  1.537% | 
 | 88   | Noivern            |  0.72442% | 2645   |  1.761% | 2090   |  1.720% | 
 | 89   | Ninetales          |  0.71584% | 1777   |  1.183% | 1577   |  1.298% | 
 | 90   | Ribombee           |  0.71459% | 3721   |  2.478% | 3157   |  2.598% | 
 | 91   | Forretress         |  0.70342% | 4655   |  3.100% | 4108   |  3.381% | 
 | 92   | Rhyperior          |  0.69334% | 1173   |  0.781% | 968    |  0.797% | 
 | 93   | Breloom            |  0.65918% | 2614   |  1.741% | 2065   |  1.700% | 
 | 94   | Feraligatr         |  0.64122% | 1245   |  0.829% | 928    |  0.764% | 
 | 95   | Azelf              |  0.63585% | 1142   |  0.760% | 948    |  0.780% | 
 | 96   | Avalugg            |  0.61870% | 1132   |  0.754% | 901    |  0.742% | 
 | 97   | Bellibolt          |  0.52142% | 608    |  0.405% | 513    |  0.422% | 
 | 98   | Reuniclus          |  0.51510% | 1096   |  0.730% | 910    |  0.749% | 
 | 99   | Slowbro            |  0.49525% | 1406   |  0.936% | 1142   |  0.940% | 
 | 100  | Scovillain         |  0.46770% | 402    |  0.268% | 320    |  0.263% | 
 | 101  | Kingdra            |  0.44345% | 1723   |  1.147% | 1313   |  1.081% | 
 | 102  | Iron Leaves        |  0.43845% | 1501   |  1.000% | 1116   |  0.919% | 
 | 103  | Hoopa              |  0.42727% | 424    |  0.282% | 345    |  0.284% | 
 | 104  | Espeon             |  0.41354% | 3083   |  2.053% | 2385   |  1.963% | 
 | 105  | Vaporeon           |  0.39400% | 1031   |  0.687% | 855    |  0.704% | 
 | 106  | Basculegion        |  0.39086% | 975    |  0.649% | 794    |  0.654% | 
 | 107  | Diancie            |  0.38355% | 1453   |  0.968% | 1213   |  0.998% | 
 | 108  | Tornadus           |  0.37507% | 750    |  0.499% | 619    |  0.509% | 
 | 109  | Chesnaught         |  0.36525% | 1576   |  1.049% | 1268   |  1.044% | 
 | 110  | Ditto              |  0.35544% | 1404   |  0.935% | 1030   |  0.848% | 
 | 111  | Oricorio-Pom-Pom   |  0.35445% | 726    |  0.483% | 516    |  0.425% | 
 | 112  | Krookodile         |  0.34312% | 2556   |  1.702% | 2066   |  1.700% | 
 | 113  | Pincurchin         |  0.33655% | 922    |  0.614% | 836    |  0.688% | 
 | 114  | Tauros-Paldea-Aqua |  0.33558% | 337    |  0.224% | 281    |  0.231% | 
 | 115  | Delphox            |  0.32232% | 530    |  0.353% | 422    |  0.347% | 
 | 116  | Jolteon            |  0.30469% | 1316   |  0.876% | 991    |  0.816% | 
 | 117  | Charizard          |  0.29980% | 1629   |  1.085% | 1301   |  1.071% | 
 | 118  | Glaceon            |  0.28041% | 1562   |  1.040% | 1248   |  1.027% | 
 | 119  | Gallade            |  0.27414% | 2505   |  1.668% | 1943   |  1.599% | 
 | 120  | Kilowattrel        |  0.26237% | 1655   |  1.102% | 1334   |  1.098% | 
 | 121  | Lycanroc-Dusk      |  0.26108% | 1073   |  0.715% | 896    |  0.737% | 
 | 122  | Tsareena           |  0.24809% | 1489   |  0.992% | 1205   |  0.992% | 
 | 123  | Ambipom            |  0.24237% | 1296   |  0.863% | 1105   |  0.909% | 
 | 124  | Brambleghast       |  0.23684% | 902    |  0.601% | 709    |  0.584% | 
 | 125  | Cetitan            |  0.22829% | 811    |  0.540% | 636    |  0.523% | 
 | 126  | Scream Tail        |  0.21620% | 1037   |  0.691% | 857    |  0.705% | 
 | 127  | Pawmot             |  0.21590% | 1031   |  0.687% | 793    |  0.653% | 
 | 128  | Umbreon            |  0.21431% | 3149   |  2.097% | 2436   |  2.005% | 
