 Total battles: 87920
 Avg. weight/team: 0.03
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tornadus-Therian   | 34.23593% | 28852  | 16.408% | 24300  | 17.267% | 
 | 2    | Excadrill          | 32.68611% | 41025  | 23.331% | 32343  | 22.983% | 
 | 3    | Deoxys-Speed       | 27.13891% | 25488  | 14.495% | 22151  | 15.740% | 
 | 4    | Ogerpon-Cornerstone | 26.29186% | 23654  | 13.452% | 17849  | 12.683% | 
 | 5    | Latios             | 21.36750% | 29498  | 16.775% | 22791  | 16.195% | 
 | 6    | Mandibuzz          | 19.75993% | 16816  |  9.563% | 13774  |  9.788% | 
 | 7    | Lokix              | 19.25126% | 34062  | 19.371% | 27130  | 19.278% | 
 | 8    | Skarmory           | 19.23683% | 18441  | 10.487% | 16225  | 11.529% | 
 | 9    | Greninja           | 17.16224% | 30514  | 17.353% | 23655  | 16.809% | 
 | 10   | Heatran            | 16.85234% | 25254  | 14.362% | 21357  | 15.176% | 
 | 11   | Donphan            | 16.03420% | 19523  | 11.103% | 16653  | 11.834% | 
 | 12   | Skeledirge         | 14.20237% | 22002  | 12.513% | 17113  | 12.160% | 
 | 13   | Cobalion           | 13.57151% | 14425  |  8.203% | 12598  |  8.952% | 
 | 14   | Scizor             | 12.57835% | 26955  | 15.329% | 22034  | 15.657% | 
 | 15   | Rotom-Wash         | 12.08843% | 19569  | 11.129% | 17040  | 12.109% | 
 | 16   | Thundurus-Therian  | 12.08117% | 25182  | 14.321% | 19448  | 13.820% | 
 | 17   | Iron Jugulis       | 11.89175% | 9659   |  5.493% | 7313   |  5.197% | 
 | 18   | Slowking           | 11.72615% | 19068  | 10.844% | 15850  | 11.263% | 
 | 19   | Revavroom          | 11.09664% | 14740  |  8.383% | 10539  |  7.489% | 
 | 20   | Keldeo             |  9.82634% | 15136  |  8.608% | 12057  |  8.568% | 
 | 21   | Sandy Shocks       |  9.80369% | 15997  |  9.097% | 13413  |  9.531% | 
 | 22   | Conkeldurr         |  8.86306% | 17038  |  9.689% | 13777  |  9.790% | 
 | 23   | Zarude             |  8.18239% | 9152   |  5.205% | 7339   |  5.215% | 
 | 24   | Toxapex            |  7.66060% | 14763  |  8.396% | 12255  |  8.708% | 
 | 25   | Fezandipiti        |  7.36824% | 5707   |  3.246% | 4917   |  3.494% | 
 | 26   | Hawlucha           |  6.92736% | 10140  |  5.767% | 7643   |  5.431% | 
 | 27   | Tyranitar          |  6.41302% | 19599  | 11.146% | 16563  | 11.770% | 
 | 28   | Slither Wing       |  6.39020% | 8052   |  4.579% | 6160   |  4.377% | 
 | 29   | Arcanine-Hisui     |  6.22006% | 23725  | 13.492% | 18576  | 13.200% | 
 | 30   | Hydrapple          |  5.92543% | 15460  |  8.792% | 11872  |  8.436% | 
 | 31   | Gastrodon          |  5.80757% | 3969   |  2.257% | 3380   |  2.402% | 
 | 32   | Clodsire           |  5.62993% | 17522  |  9.965% | 14689  | 10.438% | 
 | 33   | Indeedee           |  5.41682% | 4825   |  2.744% | 4323   |  3.072% | 
 | 34   | Politoed           |  5.36921% | 7497   |  4.264% | 6815   |  4.843% | 
 | 35   | Ogerpon            |  5.29893% | 7167   |  4.076% | 5546   |  3.941% | 
